date,home_team,away_team,home_goals,away_goals,home_xg,away_xg,position_diff,form_difference,home_home_form,away_away_form,home_avg_goals,away_avg_goals,home_avg_conceded,away_avg_conceded,home_avg_shots,away_avg_shots,home_avg_shots_on_target,away_avg_shots_on_target,home_avg_corners,away_avg_corners,corners_difference,home_avg_yellow_cards,away_avg_yellow_cards,yellow_cards_difference,result,elo_difference,shots_difference,shots_on_target_difference,home_conversion_rate,away_conversion_rate,home_rest_days,away_rest_days,home_head_to_head,away_head_to_head,draw_head_to_head,home_home_attack,home_home_defense,away_away_attack,away_away_defense,home_avg_xgd,away_avg_xgd,xgd_diff,home_xg_form,away_xg_form,home_home_avg_xg,away_away_avg_xg,home_home_avg_xga,away_away_avg_xga,market_value_difference,market_value_ratio
2021-08-28,Liverpool,Chelsea,1.0,1.0,2.08462,0.573638,1,0,3,3,2.5,2.5,0.0,0.0,23.0,17.5,8.5,5.5,9.5,6.5,3.0,0.5,0.0,0.5,D,42.42210062826666,5.5,3.0,0.29411764705882354,0.45454545454545453,7,6,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.201483,1.938305,-0.7368219999999999,1.201483,1.938305,2.63945,3.64132,0.690464,0.630099,4400.0,1.004811372334609
2021-08-28,Aston Villa,Brentford,1.0,1.0,0.431464,1.13312,-2,-1,3,1,2.0,1.0,1.5,0.0,10.5,11.0,2.0,3.0,3.5,3.5,0.0,2.0,0.5,1.5,D,27.836617533043864,-0.5,-1.0,1.0,0.3333333333333333,7,7,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.1697249999999999,0.485228,-0.3155030000000001,0.1697249999999999,0.485228,1.18426,0.712439,0.63163,0.606313,214450.0,1.7846688620563482
2021-08-28,Man City,Arsenal,5.0,0.0,4.47273,0.116805,8,3,3,0,2.5,0.0,0.5,2.0,17.0,14.0,4.0,3.5,8.5,7.0,1.5,1.0,1.5,-0.5,H,172.08586528836622,3.0,0.5,0.625,0.0,7,6,0.0,0.0,0.0,5.0,0.0,0.0,2.0,1.7299906000000003,-1.9377754999999999,3.6677661,1.7299906000000003,-1.9377754999999999,2.43928,1.02385,0.0250088,1.88818,386950.0,1.6311883206916238
2021-08-28,Brighton,Everton,0.0,2.0,0.701622,1.54868,5,2,3,1,2.0,2.5,0.5,1.5,13.5,15.5,5.5,7.0,6.5,5.5,1.0,2.5,3.0,-0.5,A,-66.41842867738319,-2.0,-1.5,0.36363636363636365,0.35714285714285715,7,7,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.6307780000000003,1.3495329999999999,-0.7187549999999996,0.6307780000000003,1.3495329999999999,1.77896,1.85713,0.407224,0.966093,-161050.0,0.6638137981421564
2021-08-29,Burnley,Leeds,1.0,1.0,1.71102,1.52078,-2,-1,0,0,0.5,1.5,2.0,3.5,11.5,13.5,3.0,3.5,5.5,6.0,-0.5,1.0,2.0,-1.0,D,-121.96234857078775,-2.0,-0.5,0.16666666666666666,0.42857142857142855,8,8,0.0,0.0,0.0,1.0,2.0,1.0,5.0,-0.919403,-0.9825874999999998,0.06318449999999987,-0.919403,-0.9825874999999998,1.79548,0.568342,1.6853,1.64248,-161600.0,0.4603439639338788
2021-08-29,Tottenham,Watford,1.0,0.0,0.920963,0.596016,6,3,3,0,1.0,1.5,0.0,2.0,10.5,11.5,4.5,4.0,3.5,2.0,1.5,3.0,1.5,1.5,H,199.93274829593497,-1.0,0.5,0.2222222222222222,0.375,7,8,0.0,0.0,0.0,1.0,0.0,0.0,2.0,-0.41530999999999985,-0.5792780000000002,0.16396800000000034,-0.41530999999999985,-0.5792780000000002,1.06014,0.407224,2.10585,1.77896,533150.0,4.413252240717029
2021-08-29,Wolves,Man United,0.0,1.0,1.79575,0.944083,-8,-4,0,1,0.0,3.0,1.0,1.0,21.0,15.5,4.5,6.0,4.5,6.0,-1.5,1.5,2.0,-0.5,A,-231.34362357562964,5.5,-1.5,0.0,0.5,7,7,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.22198399999999996,1.374171,-1.152187,0.22198399999999996,1.374171,1.51127,2.26173,1.72636,0.587526,-392200.0,0.4900864590782032
2021-09-11,Chelsea,Aston Villa,3.0,0.0,1.22153,1.17349,6,3,3,0,2.0,1.6666666666666667,0.3333333333333333,1.3333333333333333,13.666666666666666,9.333333333333334,4.666666666666667,3.0,5.333333333333333,3.3333333333333335,1.9999999999999996,0.6666666666666666,2.3333333333333335,-1.666666666666667,H,166.5962250050652,4.333333333333332,1.666666666666667,0.42857142857142855,0.5555555555555556,14,14,0.0,0.0,0.0,3.0,0.0,2.0,3.0,0.7885426666666666,-0.1207353333333333,0.9092779999999999,0.7885426666666666,-0.1207353333333333,1.18709,1.13718,0.321701,1.35036,426750.0,1.8749359302921578
2021-09-11,Watford,Wolves,0.0,2.0,0.185407,2.55922,6,3,3,0,1.0,0.0,1.6666666666666667,1.0,10.666666666666666,19.0,3.3333333333333335,5.0,2.3333333333333335,4.666666666666667,-2.3333333333333335,2.0,2.0,0.0,A,-61.86239070649276,-8.333333333333334,-1.6666666666666665,0.3,0.0,13,13,0.0,0.0,0.0,3.0,2.0,0.0,1.0,-0.49450099999999997,0.43187833333333336,-0.9263793333333333,-0.49450099999999997,0.43187833333333336,1.35036,1.32714,1.13718,0.668082,-220750.0,0.41437856479639207
2021-09-11,Man United,Newcastle,4.0,1.0,2.77326,0.622042,14,6,3,0,2.3333333333333335,1.3333333333333333,0.6666666666666666,2.6666666666666665,13.666666666666666,12.0,5.0,3.0,6.333333333333333,5.0,1.333333333333333,2.6666666666666665,2.6666666666666665,0.0,H,223.76752036767584,1.666666666666666,2.0,0.4666666666666667,0.4444444444444444,13,14,0.0,0.0,0.0,5.0,1.0,0.0,2.0,0.632225,-1.3841166666666662,2.0163416666666665,0.632225,-1.3841166666666662,1.64248,0.63163,0.568342,1.18426,455250.0,2.4503026441541893
